ANO;ESTADO;AREA KM²
2022;Roraima;293,18
2022;Amazonas;3.047,68
2022;Tocantins;30,96
2022;Mato Grosso;2.021,75
2022;Pará;4.531,24
2022;Acre;1.005,65
2022;Amapá;13,98
2022;Maranhão;298,83
2022;Rondônia;1.452,20
2021;Roraima;283,62
2021;Amazonas;2.164,59
2021;Tocantins;32,15
2021;Mato Grosso;1.975,72
2021;Pará;5.086,26
2021;Acre;891,81
2021;Amapá;16,09
2021;Maranhão;315,99
2021;Rondônia;1.649,76
2020;Roraima;604,95
2020;Amazonas;3.584,53
2020;Tocantins;57,29
2020;Mato Grosso;3.797,27
2020;Pará;9.704,39
2020;Acre;1.552,52
2020;Amapá;26,43
2020;Maranhão;631,17
2020;Rondônia;2.957,35
2019;Roraima;542,66
2019;Amazonas;1.556,36
2019;Tocantins;28,14
2019;Mato Grosso;1.885,33
2019;Pará;4.463,32
2019;Acre;706,82
2019;Amapá;39,06
2019;Maranhão;272,67
2019;Rondônia;1.400,89
2018;Roraima;126,65
2018;Amazonas;1.051,93
2018;Tocantins;22,78
2018;Mato Grosso;1.438,13
2018;Pará;2.608,38
2018;Acre;426,42
2018;Amapá;24,57
2018;Maranhão;182,73
2018;Rondônia;1.209,76
2017;Roraima;121,88
2017;Amazonas;1.009,73
2017;Tocantins;28,16
2017;Mato Grosso;1.454,09
2017;Pará;2.572,04
2017;Acre;245,63
2017;Amapá;17,27
2017;Maranhão;272,57
2017;Rondônia;1.278,15
2016;Roraima;228,4
2016;Amazonas;1.003,49
2016;Tocantins;53,46
2016;Mato Grosso;1.402,28
2016;Pará;2.760,27
2016;Acre;366,13
2016;Amapá;12,41
2016;MaranhÃ£o;247,22
2016;Rondônia;1.194,36
2015;Roraima;154,29
2015;Amazonas;687,5
2015;Tocantins;55,3
2015;Mato Grosso;1.495,91
2015;Pará;2.304,54
2015;Acre;222,83
2015;Amapá;19,11
2015;Maranhão;217,33
2015;Rondônia;960,82
2014;Roraima;189,04
2014;Amazonas;552,16
2014;Tocantins;45,06
2014;Mato Grosso;1.106,19
2014;Pará;1.796,86
2014;Acre;348,57
2014;Amapá;29,12
2014;Maranhão;286,06
2014;Rondônia;762,03
2013;Roraima;148,41
2013;Amazonas;480,79
2013;Tocantins;77,12
2013;Mato Grosso;1.107,89
2013;Pará;2.100,46
2013;Acre;200,24
2013;Amapá;24,24
2013;Maranhão;294,58
2013;Rondônia;962,81
2012;Roraima;107,4
2012;Amazonas;470,74
2012;Tocantins;47,64
2012;Mato Grosso;788,71
2012;Pará;1.698,44
2012;Acre;270,46
2012;Amapá;19,31
2012;Maranhão;334,1
2012;Rondônia;691,86
2011;Roraima;129,62
2011;Amazonas;507,19
2011;Tocantins;33,74
2011;Mato Grosso;1.060,55
2011;Pará;2.510,12
2011;Acre;295,5
2011;Amapá;16,62
2011;Maranhão;374,05
2011;Rondônia;763,94
2010;Roraima;234,87
2010;Amazonas;545,16
2010;Tocantins;52,9
2010;Mato Grosso;774,25
2010;Pará;3.317,49
2010;Acre;265,22
2010;Amapá;70,82
2010;Maranhão;598,55
2010;Rondônia;431,2
